Date ApplieType of Company       Position                     Job Search Engine     Application StatInterview? Notes                                                        
   04/15/25Lumber Company        IT Support Specialist (Entry Indeed                Limbo           No         I think I’ve gotten rejected because I didn’t get            Interdependent Search E
   04/30/25News Media            IT Intern                    Hiring Cafe Search EngN/A             N/A        I usually give a week before any response                    Big Corp Search Engines
   05/02/25Rental Relestate  softIT Associate Intern          Hiring Cafe Search EngN/A             N/A        Lets hope for the best!                                      
